Section,Key,English Content
Metadata,title,Mina Design | Premium Furniture Sourcing Agency
Metadata,description,Exquisite Turkish furniture sourcing for European markets. Bridging Anatolian craftsmanship with modern design excellence.
Navigation,home,Home
Navigation,about,About
Navigation,services,Services
Navigation,projects,Projects
Navigation,contact,Contact
Hero,subtitle,Reliable <br /> Furniture <br /> Supplier
Hero,title_part1,Bridge
Hero,title_part2,Between Anatolian
Hero,title_part3,Craftsmanship
Hero,desc,"Direct B2B furniture sourcing from İnegöl, Turkey to Spain. Bridging European design with Turkish craftsmanship excellence."
About,title,Furniture is in Our DNA.
About,para1,"""For us, furniture is not just a commodity; it is a heritage. Born and raised in İnegöl—the heart of Turkey’s furniture industry—we grew up in the workshops where sawdust turns into art."""
About,para2,"We combine this innate understanding of craftsmanship with Industrial Engineering precision (UPV Alumni). We know which wood lasts a lifetime, which fabric withstands hotel traffic, and which joint will never creak. We don’t just source furniture; we guarantee 'Heirloom Quality'—pieces built to last for generations."
Capacity,title,Operational Capacity
Capacity,partners_label,Manufacturing Partners
Capacity,partners_desc,Direct access to İnegöl’s finest artisan workshops and high-tech factories.
Capacity,heritage_label,Years of Heritage
Capacity,heritage_desc,"Born in the furniture capital, perfected with Industrial Engineering."
Capacity,qc_label,Quality Control (QC)
Capacity,qc_desc,Every stitch and joint is inspected before shipping. Zero defects.
Capacity,customs_label,Zero Customs Hassle
Capacity,customs_desc,We handle all import duties. Delivered directly to your door in Spain (DDP).
Contact,hero_title,Let’s Engineer <br /> Your Vision
Contact,hero_subtitle,Mina Design Agency | Furniture Solutions
Contact,form_title,Furniture is in our DNA.
Contact,form_desc1,"We grew up in İnegöl, where furniture is a heritage. We combine this with engineering precision to deliver heirloom quality."
Contact,form_desc2,Need a partner for your next project in Spain? We speak your language and understand the soul of wood.
Footer,desc,Bridge Between Anatolian Craftsmanship & European Design.
Footer,copyright,© {year} Mina Design Furniture Sourcing. All Rights Reserved.
Services,title_subtitle,Our Expertise
Services,title_part1,Professional
Services,title_part2,Sourcing
Services,see_all,See All Services
Services,item1_title,DIRECT FACTORY ACCESS
Services,item1_desc,Eliminating middlemen in İnegöl to provide manufacturers' prices directly to you.
Services,item2_title,SPANISH HQ SUPPORT
Services,item2_desc,Our Alicante-based team provides local support and European standards oversight.
Services,item3_title,DDP LOGISTICS
Services,item3_desc,Hassle-free door-to-door delivery from Turkey to your location in Spain.
Services,item4_title,DESIGN & PRODUCTION
Services,item4_desc,Bridging European design aesthetics with expert Turkish craftsmanship.
Projects,title,Collections
Projects,view_all,View all projects
Projects,item1_title,Luxury Avangard
Projects,item2_title,Classic Masif
Projects,item3_title,Modern Sofa
Projects,item4_title,Hospitality Design
Projects,item5_title,Eco Friendly Wood
Projects,item6_title,Commercial Lounging
Common,view_gallery,View<br />Gallery
Common,follow_us,Follow Us
Common,say_hello,Say hello at:
Common,information,Information
Awards,title_part1,Logistics
Awards,title_part2,Quality Excellence
Awards,item1_subtitle,Spain
Awards,item1_title,Regional Logistics Excellence
Awards,item2_subtitle,Alicante
Awards,item2_title,European Quality Standards
Awards,item3_subtitle,İnegöl
Awards,item3_title,Direct Hub Integrated
Awards,item4_subtitle,DDP
Awards,item4_title,Seamless Supply Chain
Awards,item5_subtitle,B2B
Awards,item5_title,Hotel Project Sourcing
Awards,item6_subtitle,B2B
Awards,item6_title,Retail Chain Partners
Brand,core_values,Our Core Values
Brand.marquee,furniture,FURNITURE
Brand.marquee,modern,MODERN
Brand.marquee,quality,QUALITY
Brand.marquee,fast,FAST
Brand.marquee,zero_stress,ZERO STRESS
Brand.marquee,sourcing,SOURCING
Testimonials,item1_desc,“Mina Design has been our bridge to Turkish craftsmanship. Their local İnegöl team ensures every piece meets our luxury standards in Spain.”
Testimonials,item1_name,Andrés García
Testimonials,item1_designation,"Interior Designer, Madrid"
Testimonials,item2_desc,"“DDP logistics from Turkey to Alicante sounded complex, but Mina Design handled everything. The direct manufacturer pricing saved us over 30%.”"
Testimonials,item2_name,Elena Rodriguez
Testimonials,item2_designation,"Hotel Procurement, Valencia"
AboutHero,scroll,Scroll to explore
AboutHero,subtitle,Mina Design. <br /> Heirloom Quality.
AboutHero,title,Let’s Build <br /> Something Timeless.
AboutHero,desc,Whether it’s a boutique hotel in Valencia or a luxury villa in Marbella; you have a partner who speaks your language and understands the soul of wood.
CTA,title_part1,Let’s talk
CTA,title_part2,about it
CTA,desc,We will collaborate to find the right answer and bring progress to your business and to the world.
CTA,btn,Get In Touch
Portfolio,filter_all,Show All
Portfolio,filter_luxury,Luxury
Portfolio,filter_modular,Modular
Portfolio,filter_natural,Natural
Portfolio,filter_furniture,Furniture
Portfolio,cursor_view,View<br>Better
BrandSection,title,What We Can Build Together
BrandSection,slogan1,Boutique Hotels
BrandSection,slogan2,Luxury Villas
BrandSection,slogan3,Bespoke Manufacturing
BrandSection,slogan4,Retail & Stores
BrandSection,slogan5,Restaurant & Cafe
BrandSection,slogan6,Heirloom Quality
BrandSection,desc,We believe in creating partnerships based on technical honesty and transparency. Ready to engineer your project?
BrandSection,btn,Contact Our Engineering Team
